iter	RMSE
0	2.175013658
1	2.119464965
2	2.067989062
3	2.020222692
4	1.975535388
5	1.932635191
6	1.894136299
7	1.857466876
8	1.823574424
9	1.792287023
10	1.761651601
11	1.73324835
12	1.706978317
13	1.681671965
14	1.658652397
15	1.637734316
16	1.617182386
17	1.598057267
18	1.580477401
19	1.563479354
20	1.548721987
21	1.533893571
22	1.519695114
23	1.50629464
24	1.493701199
25	1.481553843
26	1.470462729
27	1.459975536
28	1.450067798
29	1.440895825
30	1.432355832
31	1.424409695
32	1.416010753
33	1.40863043
34	1.40156738
35	1.394807858
36	1.38799075
37	1.381410469
38	1.374980595
39	1.369513741
40	1.364082757
41	1.358556211
42	1.353190458
43	1.348742516
44	1.344125156
45	1.339955874
46	1.335411284
47	1.331364822
48	1.327505119
49	1.324071549
50	1.321011668
51	1.317421598
52	1.314200691
53	1.311134005
54	1.308042788
55	1.305331489
56	1.302533573
57	1.299771016
58	1.297244119
59	1.294891673
60	1.292684347
61	1.290518032
62	1.288515212
63	1.286504372
64	1.284609817
65	1.282853073
66	1.281055929
67	1.279392293
68	1.277745818
69	1.27609857
70	1.274614544
71	1.27302776
72	1.271558026
73	1.269845796
74	1.268216233
75	1.266895311
76	1.265707688
77	1.264637301
78	1.263391302
79	1.26218724
80	1.260908727
81	1.259888545
82	1.2589251
83	1.257845382
84	1.256718028
85	1.25595128
86	1.254927453
87	1.254007877
88	1.253154404
89	1.252146745
90	1.251319309
91	1.250500951
92	1.24968766
93	1.248885258
94	1.248116886
95	1.247456392
96	1.246558806
97	1.245708793
98	1.245006576
99	1.244094324
100	1.24344555
101	1.242785039
102	1.242210943
103	1.241684822
104	1.241104676
105	1.240436124
106	1.239939394
107	1.239239167
108	1.23873032
109	1.23821158
110	1.237693469
111	1.236949193
112	1.236481155
113	1.235973724
114	1.235582873
115	1.23520802
116	1.234741985
117	1.233927771
118	1.233534373
119	1.233182375
120	1.232778232
121	1.232414094
122	1.232010497
123	1.231409835
124	1.231060905
125	1.230585772
126	1.23026352
127	1.229915988
128	1.229609069
129	1.229130634
130	1.228885231
131	1.228597154
132	1.228274598
133	1.228022716
134	1.227726879
135	1.227423934
136	1.226757135
137	1.226514361
138	1.226222574
139	1.225995007
140	1.225396206
141	1.225057307
142	1.224809784
143	1.224453094
144	1.224225456
145	1.223990687
146	1.223767299
147	1.223458763
148	1.22326107
149	1.223024295
150	1.222555692
151	1.222252419
152	1.222048971
153	1.221870406
154	1.22171035
155	1.221549395
156	1.221391064
157	1.22100639
158	1.220781868
159	1.220581264
160	1.220425118
161	1.22011078
162	1.219937759
163	1.219701086
164	1.219512934
165	1.219392329
166	1.219227229
167	1.21877001
168	1.218547289
169	1.218199835
170	1.21795126
171	1.21779793
172	1.217577698
173	1.217367252
174	1.217012001
175	1.216855653
176	1.216708613
177	1.216568388
178	1.216440163
179	1.216149711
180	1.215977026
181	1.215752581
182	1.21556241
183	1.215211233
184	1.215000101
185	1.214816055
186	1.214664659
187	1.214574424
188	1.214428472
189	1.214262138
190	1.214000976
191	1.21383835
192	1.213686982
193	1.213480447
194	1.21336546
195	1.213224217
196	1.213109585
197	1.212996044
198	1.212892533
199	1.212778195
200	1.212632756
201	1.212415023
202	1.212214308
203	1.212121877
204	1.211862172
205	1.211635126
206	1.21148594
207	1.211314216
208	1.211192179
209	1.211072341
210	1.211011974
211	1.21087858
212	1.210754173
213	1.210607025
214	1.210537196
215	1.210436241
216	1.210279549
217	1.210185265
218	1.209987251
219	1.209825379
220	1.209730005
221	1.209638206
222	1.209553756
223	1.209497847
224	1.209285585
225	1.209202003
226	1.209068367
227	1.208841403
228	1.208669372
229	1.208566312
230	1.208316894
231	1.208230439
232	1.208011484
233	1.207908954
234	1.20779684
235	1.207663938
