iter	Passed	Remaining
0	66	66503
1	74	37054
2	80	26590
3	86	21596
4	92	18317
5	97	16173
6	103	14708
7	109	13635
8	115	12730
9	121	12006
10	128	11518
11	135	11138
12	142	10825
13	149	10505
14	156	10293
15	162	10000
16	169	9802
17	176	9630
18	183	9483
19	190	9329
20	198	9237
21	203	9055
22	211	8966
23	216	8819
24	223	8705
25	229	8605
26	234	8461
27	242	8422
28	249	8348
29	255	8274
30	262	8217
31	268	8134
32	276	8107
33	284	8079
34	292	8058
35	299	8013
36	305	7943
37	311	7892
38	317	7829
39	324	7792
40	330	7738
41	337	7686
42	343	7653
43	349	7600
44	355	7547
45	361	7503
46	368	7469
47	374	7423
48	380	7386
49	386	7344
50	392	7297
51	399	7275
52	405	7251
53	412	7229
54	419	7203
55	426	7195
56	435	7207
57	442	7185
58	449	7169
59	455	7137
60	461	7111
61	469	7097
62	475	7070
63	481	7044
64	489	7039
65	497	7040
66	504	7023
67	512	7026
68	520	7022
69	527	7007
70	534	6988
71	541	6975
72	547	6948
73	553	6922
74	559	6900
75	566	6883
76	572	6859
77	578	6838
78	585	6825
79	592	6813
80	599	6797
81	606	6787
82	613	6774
83	620	6762
84	626	6749
85	633	6730
86	640	6719
87	648	6717
88	655	6711
89	661	6689
90	667	6667
91	673	6647
92	680	6633
93	686	6614
94	694	6615
95	701	6606
96	709	6601
97	716	6592
98	723	6580
99	729	6563
100	735	6548
101	742	6537
102	749	6528
103	756	6515
104	762	6499
105	768	6482
106	776	6477
107	782	6464
108	789	6449
109	796	6445
110	802	6428
111	807	6403
112	815	6398
113	821	6383
114	829	6381
115	836	6375
116	843	6362
117	849	6346
118	855	6334
119	861	6319
120	868	6305
121	874	6292
122	880	6277
123	885	6258
124	893	6251
125	898	6235
126	905	6222
127	910	6203
128	916	6190
129	923	6182
130	930	6172
131	938	6168
132	945	6162
133	951	6152
134	958	6142
135	965	6133
136	970	6116
137	977	6107
138	984	6100
139	991	6089
140	997	6076
141	1004	6068
142	1011	6059
143	1017	6050
144	1023	6036
145	1029	6023
146	1035	6008
147	1041	5995
148	1048	5986
149	1054	5975
150	1059	5958
151	1064	5940
152	1071	5930
153	1077	5917
154	1083	5908
155	1090	5902
156	1098	5897
157	1103	5881
158	1110	5873
159	1116	5859
160	1123	5853
161	1128	5839
162	1136	5837
163	1143	5829
164	1150	5822
165	1156	5809
166	1163	5801
167	1169	5793
168	1176	5786
169	1183	5776
170	1188	5763
171	1195	5756
172	1201	5744
173	1207	5734
174	1213	5721
175	1219	5708
176	1226	5703
177	1233	5697
178	1240	5691
179	1247	5681
180	1254	5674
181	1259	5662
182	1266	5654
183	1272	5645
184	1279	5638
185	1286	5630
186	1293	5625
187	1300	5617
188	1307	5611
189	1313	5601
190	1319	5590
191	1325	5579
192	1331	5568
193	1338	5559
194	1345	5555
195	1351	5543
196	1359	5540
197	1366	5535
198	1374	5533
199	1381	5524
200	1387	5513
201	1393	5504
202	1398	5492
203	1404	5481
204	1410	5470
205	1417	5462
206	1423	5452
207	1429	5442
208	1437	5438
209	1443	5432
210	1450	5423
211	1456	5415
212	1464	5409
213	1470	5401
214	1477	5393
215	1484	5388
216	1490	5379
217	1497	5371
218	1503	5362
219	1510	5354
220	1517	5347
221	1523	5339
222	1531	5335
223	1538	5330
224	1544	5319
225	1552	5315
226	1559	5310
227	1565	5300
228	1570	5289
229	1577	5282
230	1582	5267
231	1590	5264
232	1593	5247
233	1601	5243
234	1608	5236
235	1615	5228
236	1620	5215
237	1626	5206
238	1633	5201
239	1640	5196
240	1646	5185
241	1651	5173
242	1657	5165
243	1664	5157
244	1671	5151
245	1678	5144
246	1687	5143
247	1694	5138
248	1700	5130
249	1707	5121
250	1714	5116
251	1722	5111
252	1729	5106
253	1736	5100
254	1743	5092
255	1749	5083
256	1757	5080
257	1764	5073
258	1769	5063
259	1775	5053
260	1782	5047
261	1789	5041
262	1796	5034
263	1803	5027
264	1808	5015
265	1815	5010
266	1823	5005
267	1830	5000
268	1837	4994
269	1845	4988
270	1853	4986
271	1861	4983
272	1868	4976
273	1876	4971
274	1882	4963
275	1888	4953
276	1893	4943
277	1901	4938
278	1909	4933
279	1916	4928
280	1921	4916
281	1927	4907
282	1934	4900
283	1939	4890
284	1946	4882
285	1952	4874
286	1958	4865
287	1965	4859
288	1972	4851
289	1978	4843
290	1985	4838
291	1990	4825
292	1996	4816
293	2002	4808
294	2010	4804
295	2018	4800
296	2023	4790
297	2029	4781
298	2036	4774
299	2043	4768
300	2051	4763
301	2059	4759
302	2065	4750
303	2071	4742
304	2076	4732
305	2082	4722
306	2089	4716
307	2095	4709
308	2100	4698
309	2108	4692
310	2114	4683
311	2119	4673
312	2126	4666
313	2133	4661
314	2140	4653
315	2146	4646
316	2152	4638
317	2159	4630
318	2165	4622
319	2172	4615
320	2178	4608
321	2183	4598
322	2190	4591
323	2196	4583
324	2202	4573
325	2206	4562
326	2213	4555
327	2220	4548
328	2226	4540
329	2233	4534
330	2241	4529
331	2246	4519
332	2253	4513
333	2260	4506
334	2267	4500
335	2274	4494
336	2281	4489
337	2287	4480
338	2293	4471
339	2299	4463
340	2303	4452
341	2309	4443
342	2315	4435
343	2323	4431
344	2330	4423
345	2335	4414
346	2341	4406
347	2348	4400
348	2355	4394
349	2361	4385
350	2365	4374
351	2370	4364
352	2376	4354
353	2382	4347
354	2388	4338
355	2393	4330
356	2399	4322
357	2405	4313
358	2410	4304
359	2417	4298
360	2424	4291
361	2430	4284
362	2435	4273
363	2441	4265
364	2447	4257
365	2454	4251
366	2462	4246
367	2467	4237
368	2474	4231
369	2481	4225
370	2487	4216
371	2494	4210
372	2499	4201
373	2504	4192
374	2511	4185
375	2518	4179
376	2523	4170
377	2531	4164
378	2536	4156
379	2543	4149
380	2549	4142
381	2554	4133
382	2561	4125
383	2568	4120
384	2574	4112
385	2580	4104
386	2585	4096
387	2591	4087
388	2597	4080
389	2603	4072
390	2608	4063
391	2615	4057
392	2623	4051
393	2629	4043
394	2635	4036
395	2641	4029
396	2647	4021
397	2653	4013
398	2660	4007
399	2667	4001
400	2674	3995
401	2681	3988
402	2685	3978
403	2691	3970
404	2696	3962
405	2702	3954
406	2708	3946
407	2715	3940
408	2720	3931
409	2727	3924
410	2733	3916
411	2739	3910
412	2744	3900
413	2751	3894
414	2757	3887
415	2762	3878
416	2768	3870
417	2774	3862
418	2778	3853
419	2784	3844
420	2790	3837
421	2795	3828
422	2802	3822
423	2808	3815
424	2815	3809
425	2821	3801
426	2827	3794
427	2834	3787
428	2841	3781
429	2846	3773
430	2851	3765
431	2858	3758
432	2862	3748
433	2867	3739
434	2872	3730
435	2878	3723
436	2884	3715
437	2890	3709
438	2896	3701
439	2903	3695
440	2909	3688
441	2915	3680
442	2921	3673
443	2926	3665
444	2932	3657
445	2938	3650
446	2944	3642
447	2950	3635
448	2956	3627
449	2961	3619
450	2968	3613
451	2975	3607
452	2980	3599
453	2987	3592
454	2994	3586
455	3001	3580
456	3008	3574
457	3014	3567
458	3021	3561
459	3027	3553
460	3033	3546
461	3039	3539
462	3046	3533
463	3051	3525
464	3071	3533
465	3077	3526
466	3083	3519
467	3088	3511
468	3096	3505
469	3103	3499
470	3111	3494
471	3117	3487
472	3122	3478
473	3128	3471
474	3134	3464
475	3140	3457
476	3148	3451
477	3154	3444
478	3162	3439
479	3168	3432
480	3174	3424
481	3181	3418
482	3188	3412
483	3192	3403
484	3198	3396
485	3205	3389
486	3212	3383
487	3217	3375
488	3222	3367
489	3229	3361
490	3236	3355
491	3241	3346
492	3247	3339
493	3253	3332
494	3261	3326
495	3266	3319
496	3273	3313
497	3279	3305
498	3285	3298
499	3290	3290
500	3297	3284
501	3305	3278
502	3309	3270
503	3316	3264
504	3323	3257
505	3329	3250
506	3334	3242
507	3341	3235
508	3346	3227
509	3351	3220
510	3359	3214
511	3364	3206
512	3370	3199
513	3376	3192
514	3382	3185
515	3388	3178
516	3395	3172
517	3401	3165
518	3407	3158
519	3412	3150
520	3418	3142
521	3424	3135
522	3430	3129
523	3436	3121
524	3443	3115
525	3448	3107
526	3455	3101
527	3461	3094
528	3467	3087
529	3473	3080
530	3479	3073
531	3485	3066
532	3491	3058
533	3496	3051
534	3504	3045
535	3509	3038
536	3516	3031
537	3523	3025
538	3529	3019
539	3536	3012
540	3541	3004
541	3547	2997
542	3553	2991
543	3560	2984
544	3566	2977
545	3572	2970
546	3578	2963
547	3586	2957
548	3592	2951
549	3598	2944
550	3605	2938
551	3611	2930
552	3616	2922
553	3622	2916
554	3628	2909
555	3634	2902
556	3640	2895
557	3646	2888
558	3652	2881
559	3658	2874
560	3664	2867
561	3670	2860
562	3676	2853
563	3681	2846
564	3687	2839
565	3693	2832
566	3698	2824
567	3705	2818
568	3709	2810
569	3715	2803
570	3722	2796
571	3729	2790
572	3734	2783
573	3740	2776
574	3747	2770
575	3754	2763
576	3760	2757
577	3765	2749
578	3772	2742
579	3779	2736
580	3784	2729
581	3790	2722
582	3797	2715
583	3801	2708
584	3808	2701
585	3816	2696
586	3823	2689
587	3829	2683
588	3833	2675
589	3839	2668
590	3845	2661
591	3852	2655
592	3859	2648
593	3866	2642
594	3872	2636
595	3879	2629
596	3885	2622
597	3889	2614
598	3896	2608
599	3903	2602
600	3910	2596
601	3917	2589
602	3923	2583
603	3929	2575
604	3935	2569
605	3940	2562
606	3948	2556
607	3954	2549
608	3960	2543
609	3966	2535
610	3971	2528
611	3975	2520
612	3981	2513
613	3986	2506
614	3992	2499
615	3997	2492
616	4004	2485
617	4010	2478
618	4016	2472
619	4022	2465
620	4028	2458
621	4035	2452
622	4042	2446
623	4048	2439
624	4055	2433
625	4062	2427
626	4068	2420
627	4075	2413
628	4082	2407
629	4088	2401
630	4093	2394
631	4099	2386
632	4106	2380
633	4113	2374
634	4120	2368
635	4126	2361
636	4134	2355
637	4140	2349
638	4144	2341
639	4150	2334
640	4155	2327
641	4162	2320
642	4168	2314
643	4174	2307
644	4181	2301
645	4187	2294
646	4194	2288
647	4200	2281
648	4205	2274
649	4210	2267
650	4217	2261
651	4224	2254
652	4232	2249
653	4238	2242
654	4245	2236
655	4249	2228
656	4254	2221
657	4260	2214
658	4266	2207
659	4271	2200
660	4278	2194
661	4285	2188
662	4291	2181
663	4296	2174
664	4303	2168
665	4310	2161
666	4318	2155
667	4325	2149
668	4332	2143
669	4338	2136
670	4344	2130
671	4349	2123
672	4355	2116
673	4361	2109
674	4366	2102
675	4372	2095
676	4377	2088
677	4382	2081
678	4387	2074
679	4393	2067
680	4399	2061
681	4406	2054
682	4413	2048
683	4419	2041
684	4424	2034
685	4432	2028
686	4439	2022
687	4445	2015
688	4451	2009
689	4458	2003
690	4464	1996
691	4470	1989
692	4476	1983
693	4483	1976
694	4490	1970
695	4497	1964
696	4502	1957
697	4509	1951
698	4516	1944
699	4523	1938
700	4528	1931
701	4535	1925
702	4541	1918
703	4546	1911
704	4553	1905
705	4559	1898
706	4565	1892
707	4572	1885
708	4577	1878
709	4584	1872
710	4590	1865
711	4596	1859
712	4602	1852
713	4608	1846
714	4614	1839
715	4620	1832
716	4626	1825
717	4631	1819
718	4636	1812
719	4641	1804
720	4646	1798
721	4652	1791
722	4660	1785
723	4666	1779
724	4671	1771
725	4677	1765
726	4684	1759
727	4690	1752
728	4697	1746
729	4704	1740
730	4711	1733
731	4718	1727
732	4724	1720
733	4729	1714
734	4735	1707
735	4742	1701
736	4750	1695
737	4757	1688
738	4763	1682
739	4769	1675
740	4775	1669
741	4782	1662
742	4787	1655
743	4793	1649
744	4800	1643
745	4805	1636
746	4811	1629
747	4816	1622
748	4823	1616
749	4829	1609
750	4834	1602
751	4841	1596
752	4846	1589
753	4851	1582
754	4858	1576
755	4864	1570
756	4869	1563
757	4876	1556
758	4881	1549
759	4887	1543
760	4895	1537
